Code,Name,Name (Arabic),Phone,Email,Credit Limit,Payment Terms (Days),Opening Balance,Notes
CUST-1000,Al-Fahad Contracting,,+965 86097145,alfahad.contracting0@example.com.kw,32349.547,90,4691.349,
CUST-1001,Modern Home Fix-It  Est.,,+965 70618214,modern.home.fixit1@example.com.kw,14010.652,90,0.000,"active account, Farwaniya"
CUST-1002,Al-Sabah Villa Services,,+965 59287050,alsabah.villa.services2@example.com.kw,KD 13049.460,15,"4,801.452","active account, Hawally"
CUST-1003,Bayt Al-Jomard  Est.,,+965 80482360,bayt.aljomard3@example.com.kw,8393.009,45,4586.351,"active account, Kuwait City"
CUST-1004,Al-Duaij Maintenance  Est.,,+965 60391027,alduaij.maintenance4@example.com.kw,1066.614,30,0.000,
CUST-1005,Gulf Builders  Est.,,+965 86581875,gulf.builders5@example.com.kw,38653.281,0,7618.384,"active account, Kuwait City"
CUST-1006,Salem Al-Rashidi,,+965 59549639,salem.alrashidi6@example.com.kw,47152.183,15,0.000,"inactive account, Ahmadi"
CUST-1007,Fahad Al-Otaibi,,+965 95718191,fahad.alotaibi7@example.com.kw,13838.929,90,0.000,"active account, Ardiya"
CUST-1008,al-mutairi est.  est.,,+965 64026657,almutairi.est.8@example.com.kw,8200.368,90,4587.232,"active account, Fahaheel"
CUST-1009,New Kuwait Contracting,,+965 95583736,new.kuwait.contracting9@example.com.kw,14772.351,45,0.000,
CUST-1010,Al-Ajmi Interiors  Est.,,+965 65241289,alajmi.interiors10@example.com.kw,4193.028,15,3359.163,"active account, Kuwait City"
CUST-1011,Ahmad Al-Kandari,,+965 90883024,ahmad.alkandari11@example.com.kw,44635.596,15,5002.423,"active account, Salmiya"
CUST-1012,Al-Enezi General Maintenance,,+965 51739181,alenezi.general.maintenance12@example.com.kw,36647.652,30,0.000,
CUST-1013,Desert Rose Interiors,,+965 71342314,desert.rose.interiors13@example.com.kw,41118.650,15,0.000,"active account, Ahmadi"
CUST-1014,Al-Anjari Villas  Est.,,+965 88916322,,810.497,60,4240.244,"active account, Kuwait City"
CUST-1015,Al-Roumi Renovation  Est.,,+965 64704328,alroumi.renovation15@example.com.kw,25008.845,15,1566.568,"active account, Kuwait City"
CUST-1016,Union Facility Services,,+965 69752287,union.facility.services16@example.com.kw,KD 23227.209,15,0.000,"active account, Fahaheel"
CUST-1017,Al-Yaqout Villas,,+965 70713233,alyaqout.villas17@example.com.kw,41936.052,15,4646.349,
CUST-1018,al-qadi household,,+965 53790704,alqadi.household18@example.com.kw,KD 43372.064,30,0.000,"active account, Fahaheel"
CUST-1019,nasser al-hajeri  est.,,+965 74926012,nasser.alhajeri19@example.com.kw,31687.090,0,0.000,"blocked account, Hawally"
CUST-1020,Al-Ghanim Home Repairs,,+965 96014146,alghanim.home.repairs20@example.com.kw,34038.060,45,0.000,"active account, Kuwait City"
CUST-1021,Al-Bahar Property Services,,+965 92380161,albahar.property.services21@example.com.kw,49869.234,30,3657.649,"active account, Ahmadi"
CUST-1022,"Gulf Facility Management,",,+965 57002990,gulf.facility.management22@example.com.kw,25122.503,90,0.000,"active account, Farwaniya"
CUST-1023,Continental Maintenance Co.  Est.,,+965 71886100,continental.maintenance.co.23@example.com.kw,20620.332,0,2104.842,"active account, Ahmadi"
CUST-1024,Al-Zamil Villas,,+965 83662331,alzamil.villas24@example.com.kw,34505.858,90,1762.190,
CUST-1025,Bin Hindi Property  Est.,,+965 50474812,bin.hindi.property25@example.com.kw,14407.229,15,0.000,"active account, Salmiya"
CUST-1026,AL-WAZZAN MAINTENANCE,,+965 77137129,,"29,553.119",45,4864.038,"active account, Ardiya"
CUST-1027,Al-Marzouq Home,,+965 79362794,almarzouq.home27@example.com.kw,17663.492,90,3702.628,
CUST-1028,Farwaniya Fix-It Center  Est.,,+965 76507667,farwaniya.fixit.center28@example.com.kw,22672.701,60,KWD 5497.088,"active account, Kuwait City"
CUST-1029,Salmiya Handyman Services,,+965 74821118,salmiya.handyman.services29@example.com.kw,40474.703,45,0.000,"active account, Shuwaikh"
CUST-1030,Hawally Repair Shop,,+965 57082097,hawally.repair.shop30@example.com.kw,22510.025,45,0.000,
CUST-1031,Jahra Building Supplies Buyer,,+965 67167199,jahra.building.supplies.buyer31@example.com.kw,KWD 2962.109,15,5133.260,
CUST-1032,Ahmadi Villa Care  Est.,,+965 63418224,ahmadi.villa.care32@example.com.kw,47801.152,0,0.000,
CUST-1033, Fahaheel Home Services ,,+965 52116056,fahaheel.home.services33@example.com.kw,"33,454.774",45,0.000,"active account, Kuwait City"
CUST-1034,Al-Khaled General Trading,,+965 53060510,alkhaled.general.trading34@example.com.kw,13489.954,45,0.000,"inactive account, Fahaheel"
CUST-1035,Al-Nasser Renovation  Est.,,+965 97122826,alnasser.renovation35@example.com.kw,40448.344,45,0.000,"active account, Shuwaikh"
CUST-1036,"Al-Osaimi Maintenance,",,+965 91361004,alosaimi.maintenance36@example.com.kw,11362.701,60,0.000,
CUST-1037,First Gulf Interiors,,+965 93394250,first.gulf.interiors37@example.com.kw,16790.123,30,1611.456,
CUST-1038,Al-Rashed Villas,,+965 83337073,,11469.460,15,0.000,
CUST-1039,Al-Sanea Property,,+965 70735981,alsanea.property39@example.com.kw,"47,377.073",15,0.000,
CUST-1040,Al-Fahad Contracting  Est. 2,,+965 70544624,alfahad.contracting40@example.com.kw,16208.802,15,0.000,
CUST-1041,Modern Home Fix-It 2,,+965 77971195,,KWD 28128.777,30,1369.893,
CUST-1042,Al-Sabah Villa Services 2,,+965 56250640,alsabah.villa.services42@example.com.kw,39438.838,0,KD 6317.692,"active account, Shuwaikh"
CUST-1043,Bayt Al-Jomard 2,,+965 51520840,,9384.248,45,890.533,"blocked account, Salmiya"
CUST-1044,Al-Duaij Maintenance 2,,+965 92601210,alduaij.maintenance44@example.com.kw,4567.207,15,0.000,"active account, Shuwaikh"
CUST-1045,Gulf Builders  Est. 2,,+965 65914328,gulf.builders45@example.com.kw,42237.978,90,1705.447,
CUST-1046,salem al-rashidi  est. 2,,+965 84531857,salem.alrashidi46@example.com.kw,KD 10700.707,30,4063.167,
CUST-1047,Fahad Al-Otaibi 2  ,,+965 88582161,fahad.alotaibi47@example.com.kw,KWD 21675.319,15,KD 0.000,"active account, Hawally"
CUST-1048,Al-Mutairi Est.  Est. 2,,+965 80557929,,"14,237.082",60,0.000,
CUST-1049,New Kuwait Contracting  Est. 2,,+965 63217116,new.kuwait.contracting49@example.com.kw,KWD 38717.522,0,"7,730.137","active account, Fahaheel"
CUST-1050,Al-Ajmi Interiors 2,,+965 90346253,alajmi.interiors50@example.com.kw,30530.907,90,2758.626,"active account, Farwaniya"
CUST-1051,Ahmad Al-Kandari  Est. 2,,+965 72932217,ahmad.alkandari51@example.com.kw,"44,828.319",90,KWD 0.000,"active account, Ardiya"
CUST-1052,Al-Enezi General Maintenance  Est. 2,,+965 55122194,alenezi.general.maintenance52@example.com.kw,24720.310,15,KD 0.000,
CUST-1053,Desert Rose Interiors 2,,+965 68462248,desert.rose.interiors53@example.com.kw,22015.583,60,KWD 0.000,
CUST-1054,Al-Anjari Villas  Est. 2,,+965 85592282,alanjari.villas54@example.com.kw,31948.622,60,0.000,
CUST-1055, Al-Roumi Renovation 2 ,,+965 99198645,alroumi.renovation55@example.com.kw,28420.427,30,0.000,
CUST-1056,UNION FACILITY SERVICES 2,,+965 87841106,union.facility.services56@example.com.kw,25968.020,90,4089.924,
CUST-1057,Al-Yaqout Villas  Est. 2,,+965 80243123,alyaqout.villas57@example.com.kw,21304.749,0,3973.766,
CUST-1058,Al-Qadi Household 2,,+965 87559960,alqadi.household58@example.com.kw,28158.458,90,0.000,
CUST-1059,Nasser Al-Hajeri  Est. 2,,+965 97746519,nasser.alhajeri59@example.com.kw,17045.734,15,1461.356,
CUST-1060,Al-Ghanim Home Repairs  Est. 2,,+965 75102313,alghanim.home.repairs60@example.com.kw,KWD 38747.799,45,0.000,"active account, Rai"
CUST-1061,Al-Bahar Property Services  Est. 2,,+965 75463414,albahar.property.services61@example.com.kw,34984.514,90,3949.927,"active account, Farwaniya"
CUST-1062,Gulf Facility Management  Est. 2,,+965 89006614,gulf.facility.management62@example.com.kw,21231.915,60,6249.745,
CUST-1063,CONTINENTAL MAINTENANCE CO.  EST. 2,,+965 94040345,continental.maintenance.co.63@example.com.kw,28698.789,90,2146.702,
CUST-1064,"Al-Zamil Villas 2,",,+965 93266392,,KD 24700.304,45,0.000,"active account, Fahaheel"
CUST-1065,BIN HINDI PROPERTY  EST. 2,,+965 94055653,bin.hindi.property65@example.com.kw,39513.099,30,6468.844,
CUST-1066,Al-Wazzan Maintenance 2  ,,+965 67180696,alwazzan.maintenance66@example.com.kw,42005.758,0,0.000,
CUST-1067,Al-Marzouq Home  Est. 2,,+965 57995089,almarzouq.home67@example.com.kw,27943.610,60,"6,868.298",
CUST-1068,Farwaniya Fix-It Center 2,,+965 81598615,farwaniya.fixit.center68@example.com.kw,5904.514,0,6346.411,
CUST-1069,Salmiya Handyman Services 2,,+965 67098207,salmiya.handyman.services69@example.com.kw,45629.753,60,4164.566,"active account, Jahra"
CUST-1070,hawally repair shop 2,,+965 87356879,hawally.repair.shop70@example.com.kw,14238.369,45,0.000,"active account, Fahaheel"
CUST-1071,Jahra Building Supplies Buyer 2,,+965 90794136,,10442.381,90,0.000,
CUST-1072,Ahmadi Villa Care  Est. 2,,+965 58516300,ahmadi.villa.care72@example.com.kw,24833.118,45,0.000,
CUST-1073,Fahaheel Home Services 2,,+965 55337608,fahaheel.home.services73@example.com.kw,"1,814.021",0,1855.145,"active account, Ardiya"
CUST-1074,Al-Khaled General Trading 2,,+965 63692458,alkhaled.general.trading74@example.com.kw,14122.030,30,6539.091,"active account, Shuwaikh"
CUST-1075,Al-Nasser Renovation 2,,+965 67669971,alnasser.renovation75@example.com.kw,11896.951,60,0.000,"active account, Jahra"
CUST-1076,Al-Osaimi Maintenance 2,,+965 62477334,alosaimi.maintenance76@example.com.kw,"4,130.057",90,6868.566,
