partyCode,partyName,invoiceNumber,invoiceDate,dueDate,amount
SUP-1014,Al-Mutawa Trading Est.,BILL-50600,15-09-2025,14-12-2025,1662.544
SUP-1020,Al-Duaij Trading Co.,BILL-50601,2026-05-28,2026-08-26,2957.496
SUP-1036,Al-Enezi Est.,BILL-50602,22-12-2025,20-02-2026,2304.555
SUP-1036,Al-Enezi Est.,BILL-50603,2026-02-14,2026-04-15,2923.932
SUP-1030,Al-Khaled Trading Est.,BILL-50604,2026-02-08,2026-03-10,2513.319
SUP-1039,"First Gulf Tools Est.,",BILL-50605,2025-12-13,2026-01-12,1957.657
SUP-1033,GULF IRONMONGERY GENERAL TRADING CO. W.L.L.,BILL-50606,25-10-2025,24-11-2025,1395.397
SUP-1053,Al-Qadi Est. 2,BILL-50607,2026-06-05,2026-07-20,KD 3062.860
SUP-1028,Al-Yaqout Trading Co.,BILL-50608,13-04-2026,28-04-2026,570.577
SUP-1068,Al-Yaqout W.L.L. 2,BILL-50609,27-09-2025,11-11-2025,KWD 2141.162
SUP-1049,  Al-Bahar W.L.L. 2,BILL-50610,2026-03-07,2026-06-05,1224.782
SUP-1031,Desert Star Hardware W.L.L.,BILL-50611,2025-10-31,2025-11-15,2154.487
SUP-9794,AL-BAHAR W.L.L.,BILL-50612,04-12-2025,04-03-2026,KD 1835.583
SUP-1002,Gulf Hardware W.L.L.,BILL-50613,2026-01-12,2026-03-13,2206.256
SUP-1054, Al-Mutawa General Trading Co. W.L.L. 2 ,BILL-50614,2025-09-24,2025-12-23,1185.877
SUP-1034,Al-Nasser W.L.L.,BILL-50615,2026-06-14,2026-09-12,1120.787
SUP-1006,Al-Ghanim Trading Co.,BILL-50616,2026-07-20,2026-10-18,3011.400
SUP-1072,Al-Anjari Est. 2,BILL-50617,2026-06-25,2026-09-23,2584.080
SUP-1031,Desert Star Hardware W.L.L.,BILL-50618,2025-12-15,2025-12-30,1557.607
SUP-1022,Al-Hajeri W.L.L.,BILL-50619,15-04-2026,15-05-2026,1840.589
SUP-1020,Al-Duaij Trading Co.,BILL-50620,21-04-2026,20-07-2026,792.816
SUP-1054,Al-Mutawa General Trading Co. W.L.L. 2,BILL-50621,01-07-2026,29-09-2026,1335.220
SUP-1063,Al-Roumi Trading Co. 2,BILL-50622,2026-04-30,2026-07-29,KWD 1159.217
SUP-1011,Al-Fahad General Trading Co. W.L.L.,BILL-50623,2026-07-10,2026-08-09,2672.434
SUP-1028,Al-Yaqout Trading Co.,BILL-50624,2025-09-10,2025-09-25,1747.925
SUP-1034,al-nasser w.l.l.,BILL-50625,30-04-2026,29-07-2026,2477.294
SUP-1049,Al-Bahar W.L.L. 2,BILL-50626,2026-06-11,2026-09-09,1884.420
SUP-1023,Al-Roumi General Trading Co. W.L.L.,BILL-50627,18-01-2026,17-02-2026,KD 2699.496
SUP-1034,al-nasser w.l.l.,BILL-50628,2026-07-18,2026-10-16,3435.549
SUP-1015,Gulf Fasteners Trading Co.,BILL-50629,16-12-2025,15-01-2026,"1,363.464"
