partyCode,partyName,invoiceNumber,invoiceDate,dueDate,amount
CUST-1212,Al-Enezi General Maintenance 6,INV-20260,3/10/2025,1/1/2026,KD 54.818
CUST-1345,Bin Hindi Property 9,INV-20261,2025-11-07,2026-02-05,1016.547
CUST-1391,Jahra Building Supplies Buyer 10,INV-20262,2026-07-20,2026-08-19,564.483
CUST-1438,Al-Rashed Villas 11,INV-20263,12/8/2025,11/9/2025,890.072
CUST-1194,Al-Khaled General Trading 5,INV-20264,13/8/2025,12/9/2025,1578.940
CUST-1254,Al-Anjari Villas 7,INV-20265,2025-09-10,2025-10-10,1491.001
CUST-1077,First Gulf Interiors 2,INV-20266,18/2/2026,20/3/2026,1691.093
CUST-1215,Al-Roumi Renovation 6,INV-20267,2026-06-29,2026-07-29,1643.984
CUST-1017,Al-Yaqout Villas,INV-20268,2026-05-09,2026-05-24,1527.136
CUST-9652,Bayt Al-Jomard 5,INV-20269,20/12/2025,20/3/2026,740.841
CUST-1385,Bin  Hindi Property 10,INV-20270,20/6/2026,20/7/2026,KWD 98.020
CUST-1427,  Al-Marzouq Home 11,INV-20271,31/1/2026,1/5/2026,405.922
CUST-1498,Al-Qadi Household  Est. 13,INV-20272,29/8/2025,13/9/2025,1298.886
CUST-1405,Gulf Builders 11,INV-20273,2025-08-22,2025-09-21,273.061
CUST-1145,  Bin Hindi Property 4,INV-20274,2025-10-18,2025-11-02,1013.598
CUST-1062,Gulf Facility Management  Est. 2.,INV-20275,8/4/2026,7/6/2026,493.607
CUST-1081,Modern Home Fix-It  Est. 3,INV-20276,2025-11-12,2026-01-11,192.189
CUST-1152,Ahmadi Villa Care 4,INV-20277,2026-04-22,2026-06-21,1028.003
CUST-1494,"Al-Anjari Villas  Est. 13,",INV-20278,25/2/2026,11/4/2026,648.261
CUST-1473,FAHAHEEL HOME SERVICES  EST. 12,INV-20279,2025-08-21,2025-09-20,1559.125
CUST-1144,Al-Zamil Villas 4,INV-20280,2026-04-23,2026-06-22,KWD 493.874
CUST-1286,Salem Al-Rashidi 8,INV-20281,2025-11-02,2025-12-17,795.213
CUST-1229,Salmiya Handyman Services 6,INV-20282,2026-06-01,2026-07-16,777.132
CUST-1277,First Gulf Interiors  Est. 7,INV-20283,22/5/2026,20/8/2026,426.892
CUST-1256,Union Facility Services  Est. 7,INV-20284,27/9/2025,27/10/2025,KWD 560.220
CUST-1465,Bin Hindi Property  Est. 12,INV-20285,2025-08-31,2025-09-30,468.961
CUST-1163,Bayt Al-Jomard 5,INV-20286,18/6/2026,16/9/2026,KWD 1789.382
CUST-1051,Ahmad Al-Kandari  Est. 2,INV-20287,2026-03-05,2026-06-03,425.636
CUST-1151,Jahra Building Supplies Buyer 4,INV-20288,2026-03-23,2026-05-07,1078.195
CUST-1032,Ahmadi Villa Care  Est.,INV-20289,2026-05-29,2026-06-28,KWD 1628.676
CUST-1275,Al-Nasser Renovation 7,INV-20290,2026-02-01,2026-03-03,1189.512
CUST-1099,Nasser Al-Hajeri 3,INV-20291,3/5/2026,2/6/2026,362.669
CUST-1083,Bayt Al-Jomard 3,INV-20292,2026-03-11,2026-06-09,582.292
CUST-1310,Hawally Repair Shop 8,INV-20293,16/7/2026,14/9/2026,KD 936.754
CUST-1177,Al-Yaqout Villas 5,INV-20294,19/10/2025,18/11/2025,648.439
CUST-1068,Farwaniya Fix-It Center 2,INV-20295,16/5/2026,15/6/2026,1799.753
CUST-1055, Al-Roumi Renovation 2 ,INV-20296,2026-02-14,2026-03-16,KD 1608.196
CUST-1140,Al-Ghanim Home Repairs  Est. 4.,INV-20297,29/7/2026,12/9/2026,1358.350
CUST-1116,Al-Osaimi Maintenance  Est. 3,INV-20298,2026-04-13,2026-04-28,65.185
CUST-1369,New Kuwait Contracting 10,INV-20299,11/5/2026,10/7/2026,1789.178
CUST-1312,Ahmadi Villa Care 8,INV-20300,2026-04-14,2026-06-13,KWD 1422.611
CUST-1259,Nasser Al-Hajeri 7,INV-20301,2026-03-21,2026-06-19,285.575
CUST-1032,Ahmadi Villa Care  Est.  ,INV-20302,2025-11-07,2025-12-07,1455.451
CUST-1388,Farwaniya Fix-It Center 10,INV-20303,2026-07-17,2026-08-16,307.558
CUST-1058,Al-Qadi Household 2,INV-20304,2026-04-23,2026-07-22,542.156
CUST-1039,Al-Sanea Property,INV-20305,2026-07-25,2026-08-09,902.004
CUST-1349,Salmiya Handyman Services 9,INV-20306,2026-06-19,2026-08-18,602.115
CUST-1415,Al-Roumi Renovation 11,INV-20307,30/9/2025,29/11/2025,306.447
CUST-1287,Fahad Al-Otaibi 8,INV-20308,16/2/2026,18/3/2026,380.374
CUST-1422,Gulf Facility Management 11,INV-20309,2026-05-06,2026-06-20,"1,167.308"
CUST-1074,Al-Khaled General Trading 2,INV-20310,15/12/2025,14/1/2026,726.433
CUST-1134,Al-Anjari Villas 4,INV-20311,23/12/2025,22/1/2026,1078.707
CUST-1359,Al-Sanea Property 9,INV-20312,4/12/2025,18/1/2026,402.152
CUST-1296,Union Facility Services 8,INV-20313,2026-01-24,2026-03-25,1753.639
CUST-1351,Jahra Building Supplies Buyer 9,INV-20314,2/6/2026,1/8/2026,284.796
CUST-1315,Al-Nasser Renovation 8,INV-20315,24/11/2025,8/1/2026,856.046
CUST-1418,Al-Qadi Household 11,INV-20316,22/4/2026,21/7/2026,660.578
CUST-1190,Hawally Repair Shop 5,INV-20317,2026-07-31,2026-09-14,415.064
CUST-1344,al-zamil villas  est. 9,INV-20318,10/6/2026,10/7/2026,1661.392
CUST-1350,Hawally Repair Shop 9,INV-20319,28/4/2026,28/5/2026,1331.386
CUST-1045,Gulf Builders  Est. 2,INV-20320,14/10/2025,12/1/2026,1766.726
CUST-1089,New  Kuwait Contracting 3,INV-20321,2026-03-20,2026-04-19,234.603
CUST-1377,Al-Yaqout  Villas 10,INV-20322,16/7/2026,15/8/2026,1311.632
CUST-1376,Union Facility Services 10,INV-20323,30/12/2025,30/3/2026,728.513
CUST-1430,Hawally Repair Shop 11,INV-20324,23/2/2026,24/5/2026,270.281
CUST-1074,Al-Khaled General Trading 2,INV-20325,16/3/2026,15/4/2026,1329.626
CUST-1443,Bayt Al-Jomard  Est. 12,INV-20326,2026-06-02,2026-07-17,"1,310.628"
CUST-1371,Ahmad Al-Kandari 10,INV-20327,3/10/2025,2/11/2025,751.605
CUST-1111,Jahra Building Supplies Buyer 3,INV-20328,16/3/2026,15/4/2026,1363.774
CUST-1319,Al-Sanea Property 8,INV-20329,2026-02-11,2026-03-13,KD 724.368
CUST-1103,Continental Maintenance Co. 3  ,INV-20330,2025-08-15,2025-09-14,1527.428
CUST-1440,"Al-Fahad Contracting 12,",INV-20331,2026-02-20,2026-05-21,570.061
CUST-1441,Modern Home Fix-It 12,INV-20332,2026-08-04,2026-09-03,997.518
CUST-1117,First Gulf Interiors 3,INV-20333,2026-05-10,2026-05-25,1399.206
CUST-1126,Salem Al-Rashidi 4,INV-20334,8/7/2026,23/7/2026,1157.496
CUST-1232,Ahmadi Villa Care 6,INV-20335,2026-08-02,2026-08-17,531.923
CUST-1392,  Ahmadi Villa Care 10,INV-20336,2026-06-07,2026-06-22,513.678
CUST-1470,Hawally Repair Shop 12,INV-20337,24/3/2026,23/5/2026,307.129
CUST-1433,Fahaheel Home Services 11  ,INV-20338,2025-09-04,2025-12-03,967.713
CUST-1412,Al-Enezi General Maintenance 11,INV-20339,15/11/2025,14/1/2026,998.146
CUST-1275,  Al-Nasser Renovation 7,INV-20340,2026-05-17,2026-06-16,385.459
CUST-1378,Al-Qadi Household  Est. 10,INV-20341,31/1/2026,1/5/2026,116.778
CUST-1074,Al-Khaled General Trading 2,INV-20342,8/5/2026,7/6/2026,951.689
CUST-1208,Al-Mutairi Est. 6,INV-20343,16/10/2025,30/11/2025,23.505
CUST-1456,Union Facility Services 12,INV-20344,2025-12-22,2026-02-20,"1,124.647"
CUST-1074,AL-KHALED GENERAL TRADING 2.,INV-20345,2025-12-17,2026-01-16,998.772
CUST-1324,Al-Duaij Maintenance  Est. 9,INV-20346,12/10/2025,11/12/2025,1534.556
CUST-1339,Nasser Al-Hajeri  Est. 9,INV-20347,14/1/2026,28/2/2026,1647.661
CUST-1203,Bayt Al-Jomard  Est. 6,INV-20348,3/6/2026,18/6/2026,1197.414
CUST-1248,Al-Mutairi Est. 7,INV-20349,2026-07-02,2026-08-01,1201.714
CUST-1020,Al-Ghanim Home Repairs,INV-20350,27/1/2026,13/3/2026,1542.079
CUST-1428,Farwaniya Fix-It Center 11,INV-20351,31/1/2026,2/3/2026,KWD 508.453
CUST-1101,Al-Bahar Property Services 3,INV-20352,2026-03-28,2026-04-27,116.840
CUST-1420,Al-Ghanim Home Repairs 11,INV-20353,9/8/2025,8/9/2025,842.134
CUST-1479,Al-Sanea Property  Est. 12,INV-20354,7/3/2026,22/3/2026,"1,334.523"
CUST-1022,Gulf Facility Management,INV-20355,16/3/2026,14/6/2026,341.530
CUST-1360,Al-Fahad Contracting 10,INV-20356,26/5/2026,25/6/2026,573.186
CUST-1465,Bin Hindi Property  Est. 12,INV-20357,30/9/2025,30/10/2025,350.748
CUST-1388,Farwaniya Fix-It Center 10,INV-20358,10/3/2026,9/4/2026,1281.626
CUST-1084,Al-Duaij Maintenance  Est. 3,INV-20359,2026-04-26,2026-06-25,1365.753
CUST-1418,Al-Qadi Household 11,INV-20360,7/6/2026,5/9/2026,1681.041
CUST-9719,Desert Rose Interiors 2  ,INV-20361,27/7/2026,25/9/2026,266.806
CUST-1149,SALMIYA HANDYMAN SERVICES 4,INV-20362,2026-02-04,2026-05-05,462.979
