Customer Code,Customer,Phone,Outstanding,Since
CUST-001,Layla Al-Sabah VIP,,"1.765,32",13/02/2026
CUST-002,Salon Glamour,99030072,٦٩٨,13/02/2026
CUST-003,Mariam Beauty Lounge,97203907,"1,506.37",13/02/2026
CUST-004,نورة العتيبي,,-,13/02/2026
CUST-005,Fatima Boutique,92611464,582.62 KWD,13/02/2026
CUST-006,Hessa Al-Rashid,99341375,"561,50",13/02/2026
CUST-007,Glow Salon Salmiya,,٨٦٨,13/02/2026
CUST-008,دلال للتجميل,98728013,826.87,13/02/2026
CUST-009,Reem Aesthetics,94342676,-,13/02/2026
CUST-010,Bridal Studio Kuwait,,844.25 KWD,13/02/2026
CUST-011,Sara Al-Mutairi,93990997,"430,24",13/02/2026
CUST-012,Amira Spa,98915735,١٧٦٦,13/02/2026
